verb,synonym1,synonym2,synonym3,synonym4,synonym5
plunge,dive,drop,fall,sink,submerge
plug,connect,insert,attach,join,couple
point,direct,aim,steer,indicate,guide
poison,infect,contaminate,corrupt,taint,pollute
polish,refine,improve,brighten,hone,perfect
pollute,contaminate,taint,infect,corrupt,spoil
portray,depict,show,represent,describe,sketch
position,place,locate,station,site,set
possess,own,hold,keep,maintain,claim
postpone,delay,defer,suspend,stall,hinder
pound,hit,strike,beat,batter,hammer
pour,flow,stream,issue,emit,discharge
power,start,boot,activate,energize,run
practice,train,exercise,drill,perform,do
praise,extol,laud,commend,celebrate,honor
predict,forecast,foresee,anticipate,estimate,project
prefer,choose,select,opt,favor,prize
prepare,ready,equip,prime,arrange,plan
prescribe,order,direct,dictate,assign,appoint
present,show,offer,display,reveal,submit
preserve,keep,save,maintain,protect,sustain
press,push,hit,click,tap,squeeze
presume,assume,suppose,think,judge,weigh
prevent,stop,halt,hinder,block,avoid
price,value,cost,charge,rate,estimate
prime,prepare,ready,load,input,activate
print,issue,publish,produce,output,release
prioritize,rank,order,organize,grade,rate
prize,value,appreciate,admire,respect,enjoy
probe,examine,inspect,investigate,explore,scrutinize
proceed,go,move,continue,advance,travel
process,handle,handle,deal,treat,manage
proclaim,declare,announce,state,publish,broadcast
procure,obtain,get,acquire,secure,gain
produce,generate,create,yield,make,originate
program,code,sequence,set,schedule,arrange
progress,advance,evolve,develop,mature,grow
project,estimate,forecast,predict,predict,jut
prolong,extend,lengthen,stretch,expand,broaden
promise,pledge,assure,guarantee,vow,commit
promote,boost,encourage,advance,foster,support
prompt,trigger,induce,cause,ignite,activate
propagate,spread,diffuse,multiply,breed,transmit
propel,drive,push,shove,thrust,move
propose,offer,suggest,bid,tender,plan
prosper,flourish,bloom,thrive,grow,succeed
protect,guard,shield,defend,secure,preserve
protest,object,complain,disagree,dissent,oppose
protrude,project,poke,stick,jut,extend
prove,demonstrate,verify,validate,justify,confirm
provide,supply,furnish,offer,contribute,yield
provoke,incite,instigate,prompt,induce,ignite
proxy,mask,hide,represent,substitute,cloak
publish,print,issue,release,broadcast,circulate
pull,fetch,get,download,retrieve,extract
punish,discipline,correct,sentence,judge,doom
purge,clean,wipe,scrub,erase,flush
purify,clean,filter,refine,sanitize,distill
pursue,chase,follow,hunt,track,shadow
push,send,upload,force,press,drive
put,place,set,position,locate,station
quantify,measure,count,calculate,enumerate,gauge
quarrel,argue,dispute,clash,disagree,bicker
quell,quiet,mute,dull,chill,silence
quench,dampen,quiet,stop,end,satisfy
query,ask,question,inquire,probe,examine
question,ask,query,probe,search,doubt
quick,fast,speedy,hasty,rapid,swift
quicken,hasten,accelerate,speed,rush,hurry
quiet,mute,quell,dull,silence,hush
quit,exit,leave,stop,end,abandon
quiver,shake,tremble,vibrate,flutter,shudder
quote,cite,reference,name,list,state
raid,attack,assault,strike,breach,penetrate
raise,elevate,lift,boost,heighten,increase
rank,order,rate,grade,classify,sort
rapid,fast,quick,speedy,swift,hasty
ratify,confirm,validate,approve,sanction,ratify
rate,evaluate,appraise,assess,judge,rank
rationalize,justify,explain,reason,justify,thin
reach,contact,access,touch,obtain,arrive
react,respond,answer,reply,counter,act
read,view,scan,interpret,examine,browse
ready,prepare,equip,prime,set,arrange
realize,achieve,understand,attain,fulfill,complete
rearrange,restructure,reorganize,move,shift,alter
reason,think,weigh,deduce,infer,argue
reboot,restart,reset,boot,refresh,start
rebuild,reconstruct,restore,repair,renovate,remake
rebut,refute,disprove,negate,invalidate,contradict
recall,retrieve,retrieve,remember,regain,fetch
receive,get,obtain,acquire,accept,take
recognize,identify,notice,discern,know,admit
recline,lie,rest,stay,lean,slant
reconstruct,rebuild,restore,repair,renovate,remake
reconcile,settle,resolve,adjust,align,square
record,log,note,document,file,register
recount,tally,count,calculate,list,state
recover,retrieve,restore,regain,fetch,rescue
recruit,enlist,hire,engage,gather,muster
rectify,correct,fix,remedy,repair,amend
redesign,alter,modify,revise,change,plan
redeploy,move,relocate,shift,transfer,deploy
reduce,lessen,decrease,diminish,lower,cut
redundant,duplicate,extra,repeat,surplus,excess
reference,cite,name,list,quote,mention
refine,improve,polish,purify,perfect,hone
reflect,mirror,express,show,contemplate,echo
reform,rebuild,restructure,improve,amend,fix
refresh,reload,update,renew,restart,reboot
refuge,hide,protect,shield,save,reserve
refund,pay,return,reimburse,deposit,wire
refuse,deny,reject,block,disallow,decline
refute,disprove,rebut,negate,invalidate,contradict
regain,retrieve,recover,fetch,obtain,acquire
register,record,log,note,enroll,sign
regret,apologize,confess,excuse,feel,rue
regularize,normalize,standardize,adjust,align,level
regulate,control,manage,govern,direct,adjust
reinforce,strengthen,boost,bolster,support,solidify
reiterate,repeat,iterate,restate,redo,renew
reject,discard,refuse,deny,dismiss,jettison
rejoice,celebrate,honor,praise,applaud,extol
relate,belong,pertain,interact,connect,refer
relax,ease,lessen,calm,quiet,rest
release,free,emit,issue,launch,liberate
relay,forward,send,transmit,dispatch,transfer
relieve,help,ease,aid,spare,free
relish,enjoy,like,prize,appreciate,savor
relocate,move,transfer,shift,migrate,redeploy
relinquish,abandon,forsake,leave,quit,surrender
rely,depend,hinge,count,trust,lean
remain,stay,last,persist,continue,abide
remake,rebuild,reconstruct,restore,repair,remold
remand,send,return,assign,deliver,issue
remark,comment,note,observe,mention,state
remedy,heal,fix,repair,restore,rectify
remember,recall,retrieve,know,notice,discern
remold,reshape,reshape,reshape,reshape,reshape
remote,access,distance,far,external,outside
remove,eliminate,delete,erase,discard,extract
rename,title,name,label,tag,mark
render,provide,yield,give,issue,perform
renovate,renew,restore,rebuild,repair,refine
renew,restore,refresh,renovate,update,extend
rent,lease,borrow,hire,take,adopt
reorganize,restructure,rebuild,rearrange,reform,remodel
repair,fix,mend,restore,rectify,patch
repeat,loop,iterate,replicate,duplicate,redo
replace,swap,overwrite,exchange,switch,change
replicate,duplicate,copy,reproduce,clone,repeat
reply,answer,respond,acknowledge,counter,retort
report,describe,detail,state,publish,document
represent,symbolize,depict,show,stand,portray
reproduce,replicate,duplicate,copy,clone,repeat
request,ask,seek,solicit,petition,invite
require,need,demand,entail,necessitate,mandate
reroute,divert,shift,redirect,path,turn
rescind,cancel,revoke,annul,void,nullify
rescue,save,recover,retrieve,free,liberate
research,study,investigate,explore,examine,analyze
resemble,parallel,match,parallel,equal,align
reserve,keep,save,hold,retain,book
reset,restart,reboot,restore,clear,flush
reshape,remold,alter,modify,transform,change
reside,live,stay,dwell,abide,reside
residue,record,trace,file,log,note
resign,quit,leave,exit,abandon,depart
resist,oppose,counter,block,hinder,fight
resolve,settle,solve,conclude,determine,finalize
respect,admire,esteem,value,appreciate,prize
respond,answer,reply,react,counter,acknowledge
rest,stay,remain,pause,sleep,idle
restart,reboot,reset,refresh,start,initiate
restate,repeat,iterate,reiterate,redo,renew
restore,recover,renovate,return,repair,renew
restrain,restrict,limit,confine,curtail,check
restrict,limit,confine,curtail,restrain,check
restructure,reorganize,rebuild,rearrange,reform,remodel
resume,continue,persist,endure,restart,reopen
retain,keep,hold,save,maintain,preserve
retort,answer,reply,respond,acknowledge,counter
retreat,withdraw,leave,exit,depart,flee
retrieve,fetch,recover,regain,recall,extract
return,repay,restore,replace,reverse,recur
reveal,disclose,show,unveil,divulge,uncover
revenue,pay,spend,cost,price,value
reverate,venerate,respect,admire,extol,praise
reverse,return,undo,cancel,revoke,nullify
review,examine,evaluate,assess,analyze,revisit
revise,edit,amend,alter,modify,update
revisit,review,examine,evaluate,assess,analyze
revolve,orbit,circle,rotate,revolve,turn
revoke,cancel,rescind,annul,void,nullify
revolutionize,innovate,create,pioneer,originate,transform
shred,destroy,wipe,erase,wreck,demolish
shriek,cry,shout,yell,scream,call
shrink,contract,diminish,lessen,shrivel,constrict
shudder,shake,quiver,tremble,vibrate,flutter
shun,avoid,evade,bypass,skirt,dodge
shut,close,terminate,end,stop,halt
sidestep,avoid,bypass,evade,skirt,dodge
sift,filter,sort,separate,screen,clean
sign,log,enter,access,authenticate,mark
signal,ping,notify,alert,warn,contact
signify,mean,denote,indicate,represent,imply
silence,mute,quiet,hush,block,suppress
simulate,model,replicate,imitate,mock,mimic
simplify,ease,streamline,clarify,reduce,facilitate
singe,burn,char,scorch,scare,blacken
sink,drop,fall,dive,submerge,plummet
sip,drink,absorb,consume,swallow,drain
site,place,position,locate,station,set
skate,glide,float,drift,slide,travel
sketch,draw,trace,outline,plan,draft
skip,omit,miss,pass,leap,ignore
skirt,avoid,evade,bypass,dodge,sidestep
skulk,sneak,creep,slither,steal,crawl
slant,lean,tilt,bend,distort,twist
slice,split,divide,cut,separate,partition
slide,glide,float,drift,slip,skate
slight,insult,abuse,offend,mock,attack
slip,slide,glide,err,mistake,fail
slither,creep,sneak,skulk,steal,crawl
sms,text,message,ping,chat,signal
smash,crush,grind,smash,squeeze,break
smooth,flatten,level,smooth,crush,press
snap,photo,shot,capture,record,image
snare,trap,capture,catch,seize,record
snatch,seize,grasp,clutch,take,grab
sneak,creep,skulk,slither,steal,crawl
snitch,betray,expose,reveal,desert,abandon
soften,melt,dissolve,fade,vanish,quiet
solicit,request,ask,seek,petition,invite
solidify,strengthen,reinforce,boost,bolster,solidify
solve,resolve,decide,fix,answer,settle
soothe,ease,calm,quiet,quell,chill
sort,classify,categorize,group,arrange,rank
space,distance,separate,alienate,isolate,skirt
spare,save,protect,shield,preserve,keep
spark,ignite,flash,trigger,start,ignite
spank,hit,pound,strike,hammer,beat
speak,talk,chat,converse,say,tell
specialize,focus,narrow,concentrate,limit,refine
specify,define,detail,designate,identify,name
speed,hasten,accelerate,expedite,rush,hurry
spell,word,write,name,read,letter
spend,pay,wire,send,transfer,deposit
spill,leak,release,reveal,drop,expose
spin,turn,rotate,revolve,wheel,pivot
spiral,twist,coil,loop,wind,curl
spirit,ignite,stir,activate,prime,stimulate
split,divide,separate,sever,cleave,rend
spoil,damage,harm,corrupt,decay,rot
spoof,fake,mimic,simulate,disguise,feign
sport,display,flaunt,show,exhibit,vaunt
spot,locate,identify,pinpoint,detect,recognize
spotlight,highlight,stress,emphasize,feature,underscore
spread,distribute,share,allocate,broadcast,diffuse
spring,emerge,arise,occur,happen,originate
sprint,dash,speed,rush,hasten,fly
spy,monitor,watch,listen,observe,track
square,settle,reconcile,resolve,adjust,align
squash,compress,shrink,squeeze,crush,condense
squeeze,compress,shrink,squash,crush,condense
stabilize,balance,steady,fix,secure,settle
stack,pile,collect,gather,accumulate,amass
stall,stop,halt,pause,delay,hinder
standard,default,original,initial,preset,factory
standardize,normalize,equalize,regularize,align,level
stare,watch,view,observe,monitor,view
start,begin,initiate,launch,commence,originate
state,declare,proclaim,state,publish,broadcast
station,place,position,site,locate,set
stay,remain,last,persist,continue,abide
steal,take,snatch,grab,seize,rob
steer,guide,direct,pilot,navigate,lead
stem,derive,originate,derive,obtain,extract
step,move,proceed,advance,walk,travel
sterilize,clean,sanitize,purify,disinfect,decontaminate
stew,prepare,cook,heat,make,brew
stick,adhere,cling,hold,attach,link
stimulate,provoke,encourage,prompt,energize,ignite
sting,pain,hurt,harm,damage,ache
stir,activate,ignite,prime,stimulate,move
stock,inventory,list,catalog,record,file
stop,halt,end,terminate,finish,pause
store,keep,reserve,hold,file,save
storm,attack,assault,strike,charge,raid
stray,wander,drift,float,glide,shift
stream,flow,stream,pour,issue,emit
streamline,simplify,optimize,modernize,facilitate,improve
strengthen,bolster,reinforce,fortify,boost,toughen
stress,emphasize,highlight,underscore,accentuate,press
stretch,extend,lengthen,prolong,expand,broaden
strike,hit,assault,attack,pound,batter
strip,remove,clear,dismantle,peel,unload
strive,attempt,try,endeavor,venture,test
structure,organize,arrange,build,form,frame
struggle,fight,clash,battle,dispute,quarrel
study,learn,acquire,understand,gain,master
submit,present,offer,propose,yield,tender
subdue,defeat,conquer,overpower,crush,win
subjoin,append,add,attach,join,annex
submerge,sink,drop,fall,dive,flood
substantiate,verify,validate,confirm,corroborate,ratify
substitute,proxy,mask,hide,represent,cloak
subtract,remove,eliminate,delete,erase,discard
succeed,prosper,flourish,bloom,thrive,grow
suffer,endure,persist,continue,last,stay
suggest,hint,signal,imply,indicate,point
suit,fit,match,adapt,adjust,align
summarize,outline,abstract,condense,shorten,review
summon,invite,request,solicit,ask,bid
supervise,oversee,manage,direct,control,monitor
supplement,augment,add,enhance,boost,complement
supply,provide,furnish,contribute,yield,issue
support,assist,aid,uphold,back,advocate
suppose,assume,presume,think,judge,weigh
suppress,silence,mute,quiet,hush,block
surf,browse,explore,view,examine,scan
surmount,overcome,defeat,conquer,master,win
surpass,exceed,excel,outdo,top,transcend
surrender,yield,submit,abandon,forsake,quit
surround,enclose,box,trap,confine,ring
survey,examine,review,inspect,scan,study
suspect,doubt,question,distrust,distrust,fear
suspend,halt,defer,delay,pause,interrupt
sustain,maintain,keep,preserve,support,nourish
swallow,gulp,consume,absorb,eat,drink
swamp,flood,bombard,overflow,saturate,deluge
swap,exchange,switch,replace,trade,shift
sway,influence,persuade,convince,satisfy,assure
sweep,wipe,clean,purge,sanitize,erase
switch,change,swap,toggle,alter,shift
symbolize,represent,depict,show,stand,portray
synchronize,align,coordinate,match,link,tune
synthesize,combine,blend,integrate,fuse,amalgamate
system,program,automate,structure,manage,direct
systematize,organize,arrange,structure,order,classify
tabulate,list,chart,record,arrange,tally
tackle,face,confront,encounter,meet,address
tag,label,mark,identify,name,code
taint,corrupt,poison,contaminate,pollute,infect
take,grab,seize,snatch,grasp,obtain
talk,chat,converse,speak,signal,communicate
tally,count,calculate,enumerate,reckon,tally
tamper,alter,fake,forge,falsify,misrepresent
tap,click,press,hit,select,touch
target,aim,focus,direct,address,hit
teach,train,educate,instruct,guide,inform
team,partner,join,unite,collaborate,ally
tell,inform,notify,advise,warn,alert
tempt,lure,entice,attract,draw,allure
tend,care,guard,protect,manage,watch
tender,offer,propose,present,give,bid
terminal,console,interface,shell,command,input
terminate,end,finish,stop,cancel,conclude
terrify,scare,frighten,alarm,shock,startle
test,examine,try,probe,verify,analyze
text,message,sms,ping,chat,signal
think,consider,weigh,examine,study,judge
threaten,warn,menace,intimidate,scare,signal
thrive,flourish,grow,prosper,succeed,bloom
throw,cast,send,emit,project,launch
thump,hit,strike,pound,beat,batter
thwart,fail,frustrate,block,dash,hinder
tie,bind,secure,fasten,constrain,link
tilt,lean,bend,slant,distort,twist
time,date,tag,mark,note,track
tint,color,stain,dye,shade,mark
title,name,identify,label,tag,rename
toggle,switch,change,swap,alter,shift
top,surpass,exceed,excel,transcend,outdo
touch,reach,contact,access,obtain,arrive
tow,pull,drag,haul,carry,transport
trace,track,follow,outline,sketch,find
track,monitor,follow,trace,observe,watch
trade,swap,exchange,switch,transfer,deal
train,educate,instruct,teach,prepare,drill
transcribe,record,copy,write,reproducify,convert
transcend,surpass,exceed,excel,top,outdo
transfer,move,shift,relocate,convey,displace
transform,change,alter,convert,reshape,modify
translate,interpret,convert,render,explain,decipher
transmit,send,forward,relay,issue,broadcast
transport,move,carry,convey,ship,transfer
transpire,happen,occur,arise,emerge,take
trap,capture,catch,stop,seize,record
trash,delete,remove,discard,erase,dump
travel,go,move,depart,leave,proceed
traverse,cross,intersect,bridge,pass,join
tremble,shake,quiver,vibrate,flutter,shudder
trespass,intrude,invade,encroach,infringe,breach
trial,test,experiment,probe,research,verify
trick,deceive,cheat,defraud,scam,dupe
trigger,initiate,prompt,start,spark,ignite
trim,cut,reduce,shorten,prune,crop
truck,transport,move,carry,convey,ship
truncate,shorten,cut,abbreviate,trim,lop
trust,believe,suppose,assume,presume,consider
try,attempt,endeavor,strive,venture,test
tune,adjust,align,calibrate,adapt,refine
turn,rotate,spin,switch,toggle,shift
twist,bend,flex,curve,distort,alter
type,write,input,enter,letter,code
uncover,reveal,reveal,disclose,show,unveil
understand,know,recognize,discern,realize,notice
undertake,assume,presume,take,accept,begin
undo,return,reverse,cancel,revoke,nullify
unearth,find,discover,reveal,detect,locate
unify,unite,combine,merge,join,link
unite,join,connect,link,unify,integrate
unjoin,separate,disconnect,detach,sever,break
unlock,free,liberate,access,open,breach
unmask,reveal,identify,show,expose,unveil
unscramble,decode,decrypt,decipher,reveal,read
unveil,reveal,disclose,show,unmask,expose
unzip,expand,extract,open,decompress,shrink
update,revise,refresh,renew,modernize,amend
upgrade,improve,enhance,better,boost,advance
uphold,support,assist,aid,advocate,defend
upload,send,push,transfer,transmit,export
upset,disturb,interrupt,annoy,disrupt,bother
use,utilize,employ,apply,harness,exploit
utilize,use,employ,apply,harness,exploit
vacate,empty,clear,flush,leave,exit
validate,verify,confirm,authenticate,certify,ratify
value,price,cost,charge,rate,estimate
vanish,disappear,fade,evanesce,leave,exit
vary,change,alter,modify,diversify,differ
vaunt,boast,brag,flaunt,show,exaggerate
venerate,respect,admire,extol,praise,honor
venture,dare,risk,challenge,confront,brave
verify,confirm,validate,check,authenticate,audit
vex,annoy,irritate,bother,disturb,provoke
vibrate,shake,quiver,tremble,flutter,shudder
view,see,observe,watch,look,scan
violate,abuse,misuse,exploit,harm,maltreat
visit,access,go,attend,reach,encounter
visualize,imagine,picture,envision,project,see
voice,state,express,show,convey,declare
void,nullify,cancel,annul,revoke,rescind
vow,promise,pledge,assure,guarantee,commit
waft,float,drift,glide,wander,hover
wait,stay,abide,abide,abide,abide
wake,awake,rouse,alert,ignite,stir
walk,travel,step,move,proceed,advance
wander,stray,drift,float,glide,shift
wane,decrease,lessen,reduce,diminish,drop
want,desire,wish,crave,seek,long
warm,heat,cook,burn,scorch,ignite
warn,alert,notify,advise,caution,brief
warp,twist,distort,alter,deform,blur
warrant,guarantee,assure,ensure,pledge,promise
wash,clean,wipe,scrub,purge,sanitize
waste,lose,drop,fail,miss,misplace
watch,observe,monitor,view,witness,note
weaken,impair,damage,harm,hinder,spoil
weigh,measure,assess,evaluate,consider,compare
welcome,accept,hold,hug,embrace,include
weep,cry,shout,shriek,call,yell
wet,dampen,quiet,dull,quell,chill
wheel,rotate,turn,spin,revolve,pivot
whine,complain,object,protest,grumble,moan
whisper,message,chat,talk,signal,quiet
widen,expand,broaden,extend,enlarge,diversify
wield,use,apply,exercise,exert,push
win,achieve,attain,attain,attain,attain
wind,twist,coil,loop,curl,spiral
wink,blink,flash,flicker,glimmer,signal
wipe,erase,delete,remove,purge,sanitize
wire,pay,send,transfer,deposit,wire
wish,desire,want,crave,seek,long
withdraw,remove,take,extract,pull,retreat
wither,rot,decay,corrode,decline,wane
witness,see,observe,watch,testify,record
word,spell,write,name,read,letter
work,act,function,operate,perform,execute
worry,fear,dread,suspect,doubt,distrust
wrap,enclose,encase,surround,box,protect
wreck,destroy,demolish,ruin,smash,shatter
write,author,type,record,script,file
yell,cry,shout,shriek,scream,call
yield,produce,provide,generate,surrender,give
zip,compress,shrink,compact,condense,constrict
